Authors;Title;Year;Affiliations;Author Keywords
ROCHA A.M.D., FERNANDES T.B.;Estrutura organizacional de bibliotecas especializadas: análise do modelo de gestão da rede ametista de bibliotecas do serviço geológico do Brasil;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteconomia; Estrutura Organizacional  Bibliotecas; Bibliotecas Especializadas; Redes de Bibliotecas"
SILVA A.K.S.D., MARQUEZ S.O.M.;Leitura no âmbito escolar: bibliotecários escolares e professores como agentes incentivadores de crianças à prática da leitura.;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Leitura; Biblioteca escolar; Formação de leitores; Bibliotecário escolar; Professores; Biblioteconomia  Monografia"
RIBEIRO A.N., MARQUEZ S.O.M.;A literatura e o cinema na formação de leitores;2017;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Leitura; Literatura; Cinema; Leitor"
ROCHA A.G., MARQUEZ S.O.M.;Biblioteca escolar: processo de marketing no setor de referência;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca escolar; Serviço de referência; Marketing"
SILVA A.S., BESSA A.D.Q.;O perfil do bibliotecário da sociedade contemporânea;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Sociedade; Profissional da informação; Bibliotecário"
PONTES A.L., TERRA G.D.M.;Aplicabilidade das funções administrativas para o melhor desempenho das unidades de informação;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Funções administrativas  Unidades de Informação; Gestão"
BARBOSA A.L.D.S., LIMA R.M.D.;Contribuição da biblioteca das escolas públicas estaduais de ensino médio de Manaus aos alunos terceiranistas aprovados no processo seletivo contínuo de 2014;2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca escolar  estruturação e funcionamento; Biblioteca escolar  serviços aos usuários; Processo seletivo contínuo"
AGUIAR A.M.D., BORGES V.J.;Adequação de acervo em bibliotecas universitárias: uma avaliação da coleção didática do curso de Administração da biblioteca ESO/UEA ;2016;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca universitária; Avaliação de acervo; Parâmetros do MEC"
PASSOS A.P.B.D., BESSA A.D.Q.;Parâmetros para avaliação de acervo: um estudo de caso em uma biblioteca escolar;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca escolar; Desenvolvimento de coleções; Seleção; Aquisição; Avaliação de acervo"
OLIVEIRA A.A.D.O., BORGES V.J.;A biblioteca prisional como apoio à educação no centro de detenção provisória masculina de Manaus - CDPMM;2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca prisional; Educação prisional; Sistema penitenciário do Amazonas"
FONSECA A.M., LIMA R.M.D.;Desenvolvimento de coleções em biblioteca especializada;2016;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca especializada; Desenvolvimento de coleções; Política de desenvolvimento de coleções - CPRM"
CARVALHO A.K.G., BORGES V.J.;Biblioteca prisional: a biblioteca como auxílio ao usuário apenado;2016;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca prisional; Satisfação do usuário; Sistema penitenciário do Amazonas; Usuário apenado"
ORTIZ B.D.F., TERRA G.D.M.;Sistemas de classificação bibliográfica: estudo comparativo entre os termos empregados na Classificação Decimal Universal e na Classificação Decimal de Direito, na esfera dos Atos Administrativos em Espécie;2018;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Classificação Decimal de Direito (CDDir); Classificação Decimal Universal (CDU); Organização do conhecimento; Recuperação da informação; Atos administrativos em espécie."
SANTOS B.S.D., MARQUEZ S.O.M.;Educação de usuários na biblioteca setorial do setor norte da UFAM: um estudo de caso;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Educação de Usuários; Habilidades e competências informacionais; Bibliotecas universitárias; Biblioteca Setorial do Setor Norte  UFAM"
SETUBAL C.D.S., FERNANDES T.B.;A atuação do bibliotecário no contexto da gestão do conhecimento;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Bibliotecário; Gestão do conhecimento; Competências e habilidades"
MACEDO C.M.D.A., BOTELHO D.E.;Satisfação dos usuários em bibliotecas especializadas;2016;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Bibliotecas especializadas; Satisfação de usuários; Demandas informacionais"
MUNIZ C.D.S., BARBALHO C.R.S.;Biblioteca itinerante como incentivo a leitura: BIBLIOSESC/AM;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Incentivo à leitura; Biblioteca escolar e biblioteca itinerante"
ANJOS, C.F.D., BORGES V.J.;Expectativas dos formandos de Biblioteconomia da Universidade Federal do Amazonas quanto ao mercado de trabalho;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteconomia; Mercado de trabalho; Perfil."
SILVA C.U.D.C.E., BESSA A.D.Q.;Pesquisa escolar: a interação do bibliotecário com o professor;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca escolar; Pesquisa escolar; Professor; Bibliotecário"
SOARES D.D.M., FERNANDES T.B.;O profissional da informação: formação e perspectivas dos alunos finalistas do curso de Biblioteconomia da UFAM do ano de 2013;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Profissional da informação; Perspectivas profissionais; Biblioteconomia; Formação profissional"
BARRETO, D. P., BARBALHO C.R.S.;Biblioteca escolar e letramento informacional: em face a atuação da biblioteca do colégio Dom Bosco junto aos alunos do ensino fundamental I;2016;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Letramento informacional; Biblioteca; Interação entre biblioteca e área pedagógica; Recurso pedagógico"
