Records	2010	2011	2012	2013	2014	2015	2016	2017
Telecommunications	59	184	236	402	534	1133	1670	1239
Analysis, measurement, control	18	99	241	473	490	983	1600	1337
Information technology	36	72	154	264	313	649	941	650
Electrical components	4	35	39	73	90	218	356	257
Audiovisual technology	4	21	37	44	57	131	245	183
Consumer goods and equipment	2	9	13	33	34	121	208	171
Agricultural and food products	0	6	14	23	28	102	163	143
Graphical maintenance	3	7	25	32	31	72	168	113
Civil engineering, building	2	10	18	28	28	76	125	106
Medical engineering	3	10	25	25	22	82	145	68

