family,species,life.form,tree.10cm.DBH,Brazil,Peru,Ecuador,Bolivia,Colombia,French.Guiana,Guyana,Surinam,Venezuela,Guiana.Shield.summarised,group,genus,fullname,checked.by.specialists,notes
Achariaceae,Carpotroche amazonica,tree,yes,yes,no,yes,no,yes,no,no,no,no,no,Angiosperm,Carpotroche,Carpotroche amazonica Mart. ex Eichler,yes,revised.by.M.Sobral
Achariaceae,Carpotroche crispidentata,tree,yes,yes,no,no,no,no,yes,no,no,no,yes,Angiosperm,Carpotroche,Carpotroche crispidentata Ducke,yes,revised.by.M.Sobral
Achariaceae,Carpotroche froesiana,shrub,no,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Carpotroche,Carpotroche froesiana Sleumer,yes,revised.by.M.Sobral
Achariaceae,Carpotroche grandiflora,"shrub, tree",yes,yes,no,no,no,yes,no,no,yes,yes,yes,Angiosperm,Carpotroche,Carpotroche grandiflora Spruce ex Benth.,yes,revised.by.M.Sobral
Achariaceae,Carpotroche integrifolia,"shrub, tree",yes,yes,no,no,no,yes,no,no,no,no,no,Angiosperm,Carpotroche,Carpotroche integrifolia Kuhlm.,yes,revised.by.M.Sobral
Achariaceae,Carpotroche longifolia,"shrub, tree",yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,Angiosperm,Carpotroche,Carpotroche longifolia (Poepp.) Benth.,yes,revised.by.M.Sobral
Achariaceae,Carpotroche pacifica,tree,yes,no,yes,no,no,yes,no,no,no,no,no,Angiosperm,Carpotroche,Carpotroche pacifica (Cuatrec.) Cuatrec.,yes,revised.by.M.Sobral
Achariaceae,Carpotroche surinamensis,tree,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,Angiosperm,Carpotroche,Carpotroche surinamensis Uittien,yes,revised.by.M.Sobral
Achariaceae,Lindackeria latifolia,"shrub, tree",yes,yes,no,no,no,no,no,no,yes,no,yes,Angiosperm,Lindackeria,Lindackeria latifolia Benth.,yes,revised.by.M.Sobral
Achariaceae,Lindackeria laurina,tree,yes,no,no,no,no,yes,no,no,no,yes,yes,Angiosperm,Lindackeria,Lindackeria laurina C.Presl,yes,revised.by.M.Sobral
Achariaceae,Lindackeria paludosa,"shrub, tree",yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,Angiosperm,Lindackeria,Lindackeria paludosa (Benth.) Gilg,yes,revised.by.M.Sobral
Achariaceae,Lindackeria paraensis,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Lindackeria,Lindackeria paraensis Kuhlm.,yes,revised.by.M.Sobral
Achariaceae,Lindackeria pauciflora,"shrub, tree",yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Lindackeria,Lindackeria pauciflora Benth.,yes,revised.by.M.Sobral
Achariaceae,Mayna grandifolia,"shrub, tree",yes,yes,yes,yes,no,yes,no,no,no,no,no,Angiosperm,Mayna,Mayna grandifolia (H.Karst.) Warb.,yes,revised.by.M.Sobral
Achariaceae,Mayna odorata,"shrub, tree",yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Angiosperm,Mayna,Mayna odorata Aubl.,yes,revised.by.M.Sobral
Achariaceae,Mayna parvifolia,"shrub, tree",yes,yes,yes,no,no,no,no,no,no,no,no,Angiosperm,Mayna,Mayna parvifolia (J.F.Macbr.) Sleumer,yes,revised.by.M.Sobral
Anacardiaceae,Anacardium amapaense,tree,yes,yes,no,no,no,no,yes,no,no,no,yes,Angiosperm,Anacardium,Anacardium amapaense J.D.Mitch.,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium giganteum,tree,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,Angiosperm,Anacardium,Anacardium giganteum W.Hancock ex Engl.,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium microsepalum,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Anacardium,Anacardium microsepalum Loes.,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium negrense,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Anacardium,Anacardium negrense Pires & Fróes,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium occidentale,tree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Anacardium,Anacardium occidentale L.,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium parvifolium,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Anacardium,Anacardium parvifolium Ducke,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium spruceanum,tree,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Anacardium,Anacardium spruceanum Benth. ex Engl.,yes,revised.by.J.Mitchell
Anacardiaceae,Antrocaryon amazonicum,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Antrocaryon,Antrocaryon amazonicum (Ducke) B.L.Burtt & A.W.Hill,yes,revised.by.J.Mitchell
Anacardiaceae,Astronium graveolens,tree,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,Angiosperm,Astronium,Astronium graveolens Jacq.,yes,revised.by.J.Mitchell
Anacardiaceae,Astronium lecointei,tree,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,Angiosperm,Astronium,Astronium lecointei Ducke,yes,revised.by.J.Mitchell
Anacardiaceae,Astronium ulei,tree,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,Angiosperm,Astronium,Astronium ulei Mattick,yes,revised.by.J.Mitchell
Anacardiaceae,Campnosperma gummiferum,tree,yes,yes,yes,no,no,yes,no,no,no,yes,yes,Angiosperm,Campnosperma,Campnosperma gummiferum Marchand,yes,revised.by.J.Mitchell
Anacardiaceae,Loxopterygium sagotii,tree,yes,no,no,no,no,no,no,yes,yes,yes,yes,Angiosperm,Loxopterygium,Loxopterygium sagotii Hook.f.,yes,revised.by.J.Mitchell
Anacardiaceae,Mauria heterophylla,tree,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,Angiosperm,Mauria,Mauria heterophylla Kunth,yes,revised.by.J.Mitchell
Anacardiaceae,Ochoterenaea colombiana,tree,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,Angiosperm,Ochoterenaea,Ochoterenaea colombiana F.A.Barkley,yes,revised.by.J.Mitchell
Anacardiaceae,Spondias globosa,tree,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,Angiosperm,Spondias,Spondias globosa J.D.Mitch. & Daly,yes,revised.by.J.Mitchell
Anacardiaceae,Spondias mombin,tree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Spondias,Spondias mombin L.,yes,revised.by.J.Mitchell
Anacardiaceae,Spondias testudinis,tree,yes,yes,yes,yes,yes,no,no,no,no,no,no,Angiosperm,Spondias,Spondias testudinis J.D.Mitch. & Daly,yes,revised.by.J.Mitchell
Anacardiaceae,Tapirira bethanniana,tree,yes,no,no,no,no,no,yes,no,no,no,yes,Angiosperm,Tapirira,Tapirira bethanniana J.D.Mitch.,yes,revised.by.J.Mitchell
Anacardiaceae,Tapirira guianensis,tree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Tapirira,Tapirira guianensis Aubl.,yes,revised.by.J.Mitchell
Anacardiaceae,Tapirira obtusa,tree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Tapirira,Tapirira obtusa (Benth.) J.D.Mitch.,yes,revised.by.J.Mitchell
Anacardiaceae,Tapirira retusa,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Tapirira,Tapirira retusa Ducke,yes,revised.by.J.Mitchell
