"","species","qtd"
"1","Carpotroche amazonica",0
"2","Carpotroche crispidentata",0
"3","Carpotroche froesiana",0
"4","Carpotroche grandiflora",0
"5","Carpotroche integrifolia",0
"6","Carpotroche longifolia",0
"7","Carpotroche pacifica",0
"8","Carpotroche surinamensis",0
"9","Lindackeria latifolia",0
"10","Lindackeria laurina",0
"11","Lindackeria paludosa",1
"12","Lindackeria paraensis",0
"13","Lindackeria pauciflora",0
"14","Mayna grandifolia",0
"15","Mayna odorata",0
"16","Mayna parvifolia",0
"17","Anacardium amapaense",0
"18","Anacardium giganteum",1
"19","Anacardium microsepalum",0
"20","Anacardium negrense",0
"21","Anacardium occidentale",11
"22","Anacardium parvifolium",0
"23","Anacardium spruceanum",0
"24","Antrocaryon amazonicum",0
"25","Astronium graveolens",1
"26","Astronium lecointei",3
"27","Astronium ulei",0
"28","Campnosperma gummiferum",0
"29","Loxopterygium sagotii",0
"30","Mauria heterophylla",0
"31","Ochoterenaea colombiana",0
"32","Spondias globosa",0
"33","Spondias mombin",7
"34","Spondias testudinis",1
"35","Tapirira bethanniana",0
"36","Tapirira guianensis",10
"37","Tapirira obtusa",0
"38","Tapirira retusa",0
"39","Thyrsodium bolivianum",0
"40","Thyrsodium guianense",0
"41","Thyrsodium herrerense",0
"42","Thyrsodium puberulum",0
"43","Thyrsodium rondonianum",0
"44","Thyrsodium spruceanum",0
"45","Toxicodendron striatum",0
"46","Anaxagorea acuminata",0
"47","Anaxagorea angustifolia",0
"48","Anaxagorea brachycarpa",0
"49","Anaxagorea brevipedicellata",0
"50","Anaxagorea brevipes",0
"51","Anaxagorea crassipetala",0
"52","Anaxagorea dolichocarpa",0
"53","Anaxagorea floribunda",0
"54","Anaxagorea gigantophylla",0
"55","Anaxagorea inundata",0
"56","Anaxagorea macrantha",0
"57","Anaxagorea manausensis",0
"58","Anaxagorea pachypetala",0
"59","Anaxagorea petiolata",0
"60","Anaxagorea phaeocarpa",0
"61","Anaxagorea prinoides",0
"62","Anaxagorea rheophytica",0
"63","Anaxagorea rufa",0
"64","Annona amazonica",0
"65","Annona ambotay",0
"66","Annona angustifolia",0
"67","Annona annonoides",0
"68","Annona asplundiana",0
"69","Annona atabapensis",0
"70","Annona calcarata",0
"71","Annona centrantha",0
"72","Annona cordifolia",0
"73","Annona cuspidata",0
"74","Annona deminuta",0
"75","Annona densicoma",0
"76","Annona dolichopetala",0
"77","Annona dolichophylla",0
"78","Annona duckei",0
"79","Annona echinata",0
"80","Annona edulis",0
"81","Annona excellens",0
"82","Annona exsucca",0
"83","Annona fendleri",0
"84","Annona foetida",0
"85","Annona fosteri",0
"86","Annona gigantophylla",0
"87","Annona glabra",0
"88","Annona glomerulifera",0
"89","Annona haematantha",0
"90","Annona helosioides",0
"91","Annona herzogii",0
"92","Annona hispida",0
"93","Annona hypoglauca",1
"94","Annona impressivenia",0
"95","Annona insignis",0
"96","Annona iquitensis",0
"97","Annona jucunda",0
"98","Annona macrocalyx",0
"99","Annona mammifera",0
"100","Annona montana",2
"101","Annona mucosa",0
"102","Annona neglecta",0
"103","Annona neoamazonica",0
"104","Annona neochrysocarpa",0
"105","Annona neoecuadoarensis",0
"106","Annona neoelliptica",0
"107","Annona neoinsignis",0
"108","Annona neosalicifolia",0
"109","Annona neoulei",0
"110","Annona nitida",0
"111","Annona paludosa",1
"112","Annona papilionella",0
"113","Annona paraensis",0
"114","Annona poeppigii",0
"115","Annona prevostiae",0
"116","Annona purpurea",0
"117","Annona rigida",0
"118","Annona scandens",0
"119","Annona schunkei",0
"120","Annona sericea",0
"121","Annona symphyocarpa",0
"122","Annona tenuiflora",0
"123","Annona tenuipes",0
"124","Annona williamsii",0
"125","Bocageopsis canescens",0
"126","Bocageopsis mattogrossensis",0
"127","Bocageopsis multiflora",2
"128","Bocageopsis pleiosperma",0
"129","Cardiopetalum calophyllum",0
"130","Cardiopetalum plicatum",0
"131","Cardiopetalum surinamense",0
"132","Cremastosperma brevipes",0
"133","Cremastosperma bullatum",0
"134","Cremastosperma cauliflorum",0
"135","Cremastosperma cenepense",0
"136","Cremastosperma gracilipes",0
"137","Cremastosperma killipii",0
"138","Cremastosperma leiophyllum",0
"139","Cremastosperma longicuspe",0
"140","Cremastosperma megalophyllum",0
"141","Cremastosperma microcarpum",0
"142","Cremastosperma monospermum",0
"143","Cremastosperma napoense",0
"144","Cremastosperma oblongum",0
"145","Cremastosperma pedunculatum",0
"146","Cremastosperma pendulum",0
"147","Cremastosperma peruvianum",0
